file_key,category,bucket,title,design_url,source
3BntoT09ryHp8jtFO7nwsM,Buttons Mega Builder,ds,Buttons Mega Builder,https://www.figma.com/design/3BntoT09ryHp8jtFO7nwsM/Buttons-Mega-Builder--Community-?node-id=17-8006&p=f&t=0Dd77xbBoqgq1rkc-0,sheet
k6MvIYJvZRdWOXIzwRjiU6,iOS 16 UI Kit (components + demos),mobile,iOS 16 UI Kit (components + demos),https://www.figma.com/design/k6MvIYJvZRdWOXIzwRjiU6/iOS-16-UI-Kit-for-Figma--Community-?t=7ycRMyDXcZQrkeRM-0,sheet
U1gugGVHMcBCrBr91s5cjO,Wirefigma FREE (wire + components),wireframe,Wirefigma FREE (wire + components),https://www.figma.com/design/U1gugGVHMcBCrBr91s5cjO/Wirefigma-FREE-%7C-Wireframe-Design-System-for-Figma--Community-?t=5GSpoMVDlfSUcqv6-0,sheet
62mTwoQlAFEMTVHwNd4onx,Wireframe UI Kit – uxchunks,wireframe,Wireframe UI Kit – uxchunks,https://www.figma.com/design/62mTwoQlAFEMTVHwNd4onx/Wireframe-UI-Kit--Figma----uxchunks--Community-?node-id=13-2038&p=f&t=lo2MlHKyi5T6p4Kj-0,sheet
P6lA9sHTHVbnmUfoYbV9Ir,Whitepace – SaaS landing,landing,Whitepace – SaaS landing,https://www.figma.com/design/P6lA9sHTHVbnmUfoYbV9Ir/Whitepace---SaaS-Landing-Page--Community-?t=E3oJwyYQDNN810R5-0,sheet
UbQrq5WZBqIw945aHbqLX4,Brainwave.io – SaaS / app landing kit,landing,Brainwave.io – SaaS / app landing kit,https://www.figma.com/design/UbQrq5WZBqIw945aHbqLX4/Brainwave.io---Landing-Page-UI-Kit---Saas-Landing-Page---Creative-App-Landing-Page--Community-?t=0NbRFi6B3YjH4nU2-0,sheet
N0Uc9SUEQUSUy4wNMsGH1C,B2Base – B2B SaaS / startups (Free),landing,B2Base – B2B SaaS / startups (Free),https://www.figma.com/design/N0Uc9SUEQUSUy4wNMsGH1C/B2Base---SaaS-platforms---Startups-Figma-Template--Free---Community-?t=PXF2pQFxs0wvOTaM-0,sheet
4mqzdefxfDX2SYlTqGTU2n,Saasto – SaaS & app website,landing,Saasto – SaaS & app website,https://www.figma.com/design/4mqzdefxfDX2SYlTqGTU2n/SaaS---App-Website-I-Saasto--Community-?node-id=181-1481&p=f&t=VTJgvSng72rffbVb-0,sheet
dqhfrq4zUFD2nY697858Vp,Cloudhub – SaaS website,landing,Cloudhub – SaaS website,https://www.figma.com/design/dqhfrq4zUFD2nY697858Vp/Cloudhub---SAAS-Website-Template--Community-?t=3t7JlJS1nbu4Qjne-0,sheet
YGuEMAVBRhpR51B159hwIg,Landing Play Lite – sections + templates,landing,Landing Play Lite – sections + templates,https://www.figma.com/design/YGuEMAVBRhpR51B159hwIg/Landing-Play-Lite-Version---Landing-Page-UI-Kit-for-Figma--Community-?t=5x7eQ8YqLLzULLfi-0,sheet
WAzHraTgsSqQQbJrTRSKlX,Startup landing page template,landing,Startup landing page template,https://www.figma.com/design/WAzHraTgsSqQQbJrTRSKlX/Design-a-Startup-Landing-Page--Community-?t=fflXtEBlSOm3r8lt-0,sheet
m8WyQ9XBo9bvMHhk3m60RK,Filo – SaaS / startup (Framer-oriented),landing,Filo – SaaS / startup (Framer-oriented),https://www.figma.com/design/m8WyQ9XBo9bvMHhk3m60RK/Filo-%E2%80%93-Free-SaaS---Startup-Framer-Website-Template--Community-?node-id=0-1&p=f&t=upOg1sYDqMYr8wIq-0,sheet
DOJzcoTY6pQttUY9dLDZdT,DashStack – admin dashboard,dashboard,DashStack – admin dashboard,https://www.figma.com/design/DOJzcoTY6pQttUY9dLDZdT/DashStack---Free-Admin-Dashboard-UI-Kit---Admin---Dashboard-Ui-Kit---Admin-Dashboard--Community---Copy-?node-id=0-40222&p=f&t=qhNftPV4rS8RZyZE-0,sheet
YBSMjXDGLXoxuVoakAAydM,TailAdmin – Tailwind admin,dashboard,TailAdmin – Tailwind admin,https://www.figma.com/design/YBSMjXDGLXoxuVoakAAydM/Filo-%E2%80%93-Free-SaaS---Startup-Framer-Website-Template--Community-?t=8SsK24b7EoN7oJBt-0,sheet
l2VY2vjR5wZOa8QP27y8Jn,Metrix – SaaS e-commerce dashboard,dashboard,Metrix – SaaS e-commerce dashboard,https://www.figma.com/design/l2VY2vjR5wZOa8QP27y8Jn/Metrix-SaaS-Dashboard-UI-Kit--Community-?m=auto&is-community-duplicate=1&fuid=1662334490189385437,sheet
gqqf7zffiVkOSSrdxIyvFj,Glass SaaS Dashboard,dashboard,Glass SaaS Dashboard,https://www.figma.com/design/gqqf7zffiVkOSSrdxIyvFj/Glass-SaaS-Dashboard-%E2%80%93-Free-Figma-UI-Kit---Design-System--Community-?t=38s25Nu8S2OzlcW3-0,sheet
nvXupvwDpOTbJr9pgA7MSs,SaaS Dashboard UI Kit (Free),dashboard,SaaS Dashboard UI Kit (Free),https://www.figma.com/design/nvXupvwDpOTbJr9pgA7MSs/SaaS-Dashboard-UI-Kit--Free---Community-,sheet
tBlMFplcpGOdP171ZgdmDW,Fintech SaaS admin dashboard,dashboard,Fintech SaaS admin dashboard,https://www.figma.com/design/tBlMFplcpGOdP171ZgdmDW/Fintech-SaaS-Admin-Dashboard-UI-Kit--Community-?t=yfaPdGHVXmVVn4iE-0,sheet
QZ4vlik8qwoR3nmbNgZggk,CRM dashboard + landing,dashboard,CRM dashboard + landing,https://www.figma.com/design/QZ4vlik8qwoR3nmbNgZggk/CRM-Dashboard---Landing-page-UI-Kit--Community-?node-id=1029-91074&p=f&t=LiYcn1EZONosFdfl-0,sheet
Efe6oRto8RL5vQaPkovK4f,Glow UI – web apps / SaaS (FREE),ds,Glow UI – web apps / SaaS (FREE),https://www.figma.com/design/Efe6oRto8RL5vQaPkovK4f/Glow-UI-%E2%80%94-FREE-UI-kit-and-design-system-for-web-apps-and-SaaS--Community-?t=xojM4JvkrSyJbG5v-0,sheet
